

263442
0000110;Renal dysplasia
0001730;Progressive hearing impairment
0004467;Preauricular pit
0009795;Branchial fistula
0009796;Branchial cyst
0000598;Abnormality of the ear
0000792;Kidney malformation


292745
0002671;Basal cell carcinoma
0000892;Bifid ribs
0005462;Calcification of falx cerebri
0000924;Abnormality of the skeletal system


391043
0004322;Short stature
0001156;Brachydactyly syndrome
0001385;Hip dysplasia


509397
0002671;Basal cell carcinoma
0010628;Facial palsy
0001662;Bradycardia
0002615;Hypotension
0001269;Hemiparesis


657583
0008572;External ear malformation
0000410;Mixed hearing impairment
0000365;Hearing impairment
0004721;Renal dysplasia/aplasia
0002009;Potter facies
0000377;Abnormality of the pinna


712760
0002671;Basal cell carcinoma


730159
0002671;Basal cell carcinoma
0003764;Nevus
0000772;Abnormality of the ribs


955942
0001249;Intellectual disability
0001251;Ataxia
0001250;Seizures


998578
0004467;Preauricular pit
0000365;Hearing impairment
0002009;Potter facies
0000104;Renal agenesis
0002107;Pneumothorax
0000077;Abnormality of the kidney


1003450
0001156;Brachydactyly syndrome
0001798;Anonychia
0001792;Small nail
0100264;Proximal symphalangism
0100266;Synostosis of carpals/tarsals
0005048;Synostosis of carpal bones
0100330;Synostosis of tarsal bones
0004440;Coronal craniosynostosis


1110452
0002671;Basal cell carcinoma
0005321;Mandibulofacial dysostosis


1248162
0000410;Mixed hearing impairment
0000376;Incomplete partition of the cochlea type II
0008554;Cochlear malformation
0009795;Branchial fistula
0000110;Renal dysplasia
0007925;Lacrimal duct aplasia
0000113;Polycystic kidney dysplasia


1347096
0002671;Basal cell carcinoma
0000924;Abnormality of the skeletal system
0002514;Cerebral calcification


1348213
0002671;Basal cell carcinoma
0010618;Ovarian fibroma
0002885;Medulloblastoma
0002664;Neoplasm


1357962
0002591;Polyphagia


1360768
0009824;Hypoplasia involving bones of the upper limbs


1363801
0001249;Intellectual disability


1415348
0001562;Oligohydramnios
0000089;Renal hypoplasia
0000104;Renal agenesis
0002089;Pulmonary hypoplasia
0000110;Renal dysplasia
0004467;Preauricular pit
0007678;Lacrimal duct stenosis
0009795;Branchial fistula
0009796;Branchial cyst


1456285
0009588;Vestibular Schwannoma
0100006;Neoplasm of the central nervous system
0001067;Neurofibromas


1456287
0001614;Hypernasal speech


1478663
0000365;Hearing impairment
0000394;Lop ear
0004467;Preauricular pit
0100272;Branchial sinus
0000077;Abnormality of the kidney


1479598
0001067;Neurofibromas
0009589;Bilateral vestibular Schwannoma
0002527;Falls


1479599
0001067;Neurofibromas
0009588;Vestibular Schwannoma
0002858;Meningioma
0000518;Cataract


1484939
0001067;Neurofibromas
0009588;Vestibular Schwannoma
0002858;Meningioma
0009900;Unilateral deafness
0000360;Tinnitus
0001324;Muscle weakness
0003202;Amyotrophy
0001250;Seizures
0002321;Vertigo
0000618;Blindness
0100608;Metrorrhagia
0000518;Cataract


1496981
0001067;Neurofibromas
0002664;Neoplasm
0009588;Vestibular Schwannoma
0002858;Meningioma
0002888;Ependymoma


1496982
0001067;Neurofibromas
0004375;Neoplasm of the nervous system
0100010;Spinal meningioma
0002888;Ependymoma
0009589;Bilateral vestibular Schwannoma


1583664
0009373;Type C Brachydactyly
0000378;Cupped ear


1619642
0001144;Orbital cysts


1672177
0001249;Intellectual disability


1745350
0009735;Spinal neurofibromas
0100608;Metrorrhagia
0009588;Vestibular Schwannoma
0009737;Lisch nodules


1750770
0000772;Abnormality of the ribs
0002664;Neoplasm


1789288
0009588;Vestibular Schwannoma


1931625
0002885;Medulloblastoma


1951448
0001249;Intellectual disability
0000365;Hearing impairment


2012134
0001022;Albinism
0001263;Global developmental delay
0005484;Postnatal microcephaly
0001250;Seizures
0008947;Infantile muscular hypotonia
0001347;Hyperreflexia
0002487;Hyperkinesis
0000478;Abnormality of the eye
0000610;Abnormality of the choroid
0007757;Hypoplasia of choroid
